Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2017,469.00,475.00,468.20,473.50,473.146989374262101534,1694,152,801511.00,921,54.37,6.80,4.50
22-March-2017,471.00,471.95,469.00,470.75,470.762857142857142857,700,49,329534.00,355,50.71,2.95,-0.25
21-March-2017,475.05,485.85,471.00,474.95,476.082470669427191166,2898,191,1379687.00,769,26.54,14.85,-0.10
20-March-2017,463.00,489.85,455.25,481.30,477.215810571455206488,10727,677,5119094.00,3122,29.10,34.60,18.30
17-March-2017,465.65,465.75,461.10,463.15,464.453603976801988400,2414,120,1121191.00,1419,58.78,4.65,-2.50
16-March-2017,467.00,469.80,465.00,465.65,467.019093078758949880,4190,254,1956810.00,2923,69.76,4.80,-1.35
15-March-2017,469.00,469.00,461.40,463.00,464.043974871501998857,3502,210,1625082.00,2370,67.68,7.60,-6.00
14-March-2017,471.00,473.00,460.00,466.45,465.947647448641484426,3018,260,1406230.00,1675,55.50,13.00,-4.55
10-March-2017,468.00,469.90,465.10,466.55,467.417522245037645448,1461,105,682897.00,724,49.56,4.80,-1.45
9-March-2017,465.75,477.00,451.25,465.90,468.347820577800304105,7892,398,3696201.00,4372,55.40,25.75,0.15
8-March-2017,471.00,471.50,463.45,465.20,468.499476439790575916,955,83,447417.00,592,61.99,8.05,-5.80
7-March-2017,473.00,479.30,468.00,471.30,471.521594684385382059,4816,329,2270848.00,1766,36.67,11.30,-1.70
6-March-2017,470.00,472.00,465.20,468.00,468.601579325197415649,1393,117,652762.00,721,51.76,6.80,-2.00
3-March-2017,471.00,472.00,435.05,469.70,469.121013543031891655,2289,198,1073818.00,1189,51.94,36.95,-1.30
2-March-2017,479.00,480.35,470.95,473.80,474.359369401648154783,2791,212,1323937.00,2070,74.17,9.40,-5.20
1-March-2017,480.00,483.90,476.90,479.25,480.710919088766692851,1273,98,611945.00,752,59.07,7.00,-0.75
28-February-2017,475.00,482.30,473.60,480.90,479.173393739703459637,2428,193,1163433.00,1628,67.05,8.70,5.90
27-February-2017,471.00,478.00,468.15,475.65,471.861476952022577610,4252,355,2006355.00,2871,67.52,9.85,4.65
23-February-2017,475.00,476.00,469.00,471.75,473.478523895946763460,1653,92,782660.00,983,59.47,7.00,-3.25
22-February-2017,476.00,476.00,472.45,473.90,473.974446337308347529,2348,285,1112892.00,1264,53.83,3.55,-2.10
21-February-2017,469.00,489.85,469.00,474.50,480.507942354620378470,21719,1129,10436152.00,4362,20.08,20.85,5.50
20-February-2017,469.00,473.00,469.00,470.40,471.444557477110885045,983,137,463430.00,554,56.36,4.00,1.40
17-February-2017,467.80,472.05,467.80,469.40,470.168219023426474738,3543,174,1665806.00,1581,44.62,4.25,1.60
16-February-2017,470.00,475.25,465.40,468.95,470.850699067909454061,6008,324,2828871.00,2034,33.85,9.85,-1.05
15-February-2017,464.40,467.95,463.30,466.05,464.928542591844973758,2477,163,1151628.00,1100,44.41,4.65,1.65
14-February-2017,468.10,477.30,458.00,465.25,468.062417232561683968,295255,1107,138197769.00,279295,94.59,19.30,-2.85
13-February-2017,468.00,469.35,462.00,466.20,465.975883476599808978,4188,281,1951507.00,2005,47.87,7.35,-1.80
10-February-2017,466.00,467.50,462.00,465.75,464.872777307366638441,4724,235,2196059.00,3089,65.39,5.50,-0.25
9-February-2017,466.20,468.65,462.50,465.40,465.520093185789167152,1717,95,799298.00,858,49.97,6.15,-0.80
8-February-2017,469.25,469.25,460.00,462.55,462.153357531760435571,2204,116,1018586.00,1544,70.05,9.25,-6.70
7-February-2017,465.25,469.35,462.20,464.65,465.326740506329113924,3792,199,1764519.00,1405,37.05,7.15,-0.60
6-February-2017,456.90,497.90,456.90,467.75,458.145686846025272005,604859,2073,277113542.00,567762,93.87,41.00,10.85
3-February-2017,457.25,459.00,454.45,456.40,456.934041363890441587,1789,145,817455.00,973,54.39,4.55,-0.85
2-February-2017,447.00,456.00,443.80,452.25,450.038780487804878048,4100,397,1845159.00,1773,43.24,12.20,5.25
1-February-2017,457.95,461.75,442.00,452.20,449.964285714285714285,4956,419,2230023.00,2966,59.85,19.75,-5.75
31-January-2017,466.50,469.25,458.85,461.55,462.557561408700799052,3379,176,1562982.00,1354,40.07,10.40,-4.95
30-January-2017,469.00,472.40,467.20,467.65,469.925638179800221975,1802,182,846806.00,891,49.45,5.20,-1.35
27-January-2017,471.15,474.85,466.30,468.15,469.027645051194539249,2930,196,1374251.00,1270,43.34,8.55,-3.00
25-January-2017,472.45,479.20,469.60,471.45,474.082888996606883179,4126,306,1956066.00,1828,44.30,9.60,-1.00
24-January-2017,469.00,492.60,468.05,474.45,482.020087069426411059,13093,1034,6311089.00,3578,27.33,24.55,5.45
23-January-2017,461.20,471.95,459.20,465.95,464.211519607843137254,4080,306,1893983.00,2003,49.09,12.75,4.75
20-January-2017,475.10,475.10,463.50,466.95,466.552064896755162241,6780,496,3163223.00,2569,37.89,11.60,-8.15
19-January-2017,483.00,483.00,470.10,477.40,476.933511974543627533,5971,399,2847770.00,1715,28.72,12.90,-5.60
18-January-2017,493.00,495.00,477.00,478.55,481.909330985915492957,2272,195,1094898.00,1353,59.55,18.00,-14.45
17-January-2017,499.00,499.00,482.75,488.75,491.417327138562448756,3659,563,1798096.00,1703,46.54,16.25,-10.25
16-January-2017,506.00,508.00,492.05,494.70,498.574513463076512929,3751,231,1870153.00,2278,60.73,15.95,-11.30
13-January-2017,499.00,506.60,494.30,501.60,500.500184365781710914,37968,792,19002991.00,28275,74.47,12.30,2.60
12-January-2017,493.00,544.00,493.00,498.85,511.625126841516617164,135011,6094,69075020.00,22307,16.52,51.00,5.85
11-January-2017,489.00,494.40,487.00,492.10,490.238866396761133603,1235,111,605445.00,595,48.18,7.40,3.10
10-January-2017,489.25,502.30,486.45,489.85,492.249705535924617196,2547,323,1253760.00,1366,53.63,15.85,0.60
9-January-2017,490.00,491.00,483.00,485.30,486.286492374727668845,918,125,446411.00,549,59.80,8.00,-4.70
6-January-2017,495.00,496.00,484.10,486.75,488.002976190476190476,1008,107,491907.00,452,44.84,11.90,-8.25
5-January-2017,500.00,500.00,481.00,492.45,491.413771118903410902,3137,217,1541565.00,1552,49.47,19.00,-7.55
4-January-2017,493.40,499.00,490.00,493.95,494.672869735553379040,1021,99,505061.00,529,51.81,9.00,0.55
3-January-2017,491.00,496.00,491.00,491.60,492.660450660450660450,1287,72,634054.00,883,68.61,5.00,0.60
2-January-2017,506.35,514.95,489.15,490.80,495.348085529587270014,2011,221,996145.00,975,48.48,25.80,-15.55
30-December-2016,491.00,508.00,482.00,499.30,493.841740226986128625,6344,514,3132932.00,3145,49.57,26.00,8.30
29-December-2016,486.00,504.00,480.50,491.95,485.751789976133651551,1676,149,814120.00,721,43.02,23.50,5.95
28-December-2016,475.00,496.50,475.00,486.95,485.768028240040342914,1983,149,963278.00,666,33.59,21.50,11.95
27-December-2016,482.20,482.20,475.05,479.05,478.728339350180505415,1108,93,530431.00,806,72.74,7.15,-3.15
26-December-2016,486.00,487.00,475.00,479.00,480.087128712871287128,505,129,242444.00,299,59.21,12.00,-7.00
23-December-2016,487.20,488.45,483.00,484.80,484.491561181434599156,474,83,229649.00,278,58.65,5.45,-2.40
22-December-2016,492.50,492.50,468.00,483.45,478.092608326253186066,1177,152,562715.00,493,41.89,24.50,-9.05
21-December-2016,496.00,501.00,487.30,490.60,495.196838539706435829,2657,222,1315738.00,1100,41.40,13.70,-5.40
20-December-2016,510.00,511.00,490.30,494.80,496.371138324519899805,7186,477,3566923.00,3969,55.23,20.70,-15.20
19-December-2016,512.00,513.95,506.00,507.60,508.340236686390532544,338,49,171819.00,234,69.23,7.95,-4.40
16-December-2016,510.70,514.80,502.15,510.00,509.537775133848899464,1681,127,856533.00,1093,65.02,12.65,-0.70
15-December-2016,508.00,513.30,503.50,510.60,511.603354978354978354,1848,71,945443.00,1490,80.63,9.80,2.60
14-December-2016,506.00,517.00,502.50,506.85,509.678899082568807339,3161,285,1611095.00,1585,50.14,14.50,0.85
13-December-2016,502.00,517.05,500.00,501.50,508.394403594771241830,4896,376,2489099.00,1494,30.51,17.05,-0.50
12-December-2016,504.75,516.00,501.05,504.20,510.015508684863523573,3224,291,1644290.00,574,17.80,14.95,-0.55
9-December-2016,513.70,514.50,496.00,503.35,507.357835630423685553,1959,122,993914.00,1110,56.66,18.50,-10.35
8-December-2016,505.00,514.70,496.10,510.95,509.516691794098643118,4643,295,2365686.00,2109,45.42,18.60,5.95
7-December-2016,496.00,504.00,496.00,500.70,500.232891832229580573,906,89,453211.00,602,66.45,8.00,4.70
6-December-2016,497.40,500.00,496.00,497.50,497.396366639141205615,1211,39,602347.00,803,66.31,4.00,0.10
5-December-2016,490.70,498.40,490.00,496.75,494.613798906184265881,2377,72,1175697.00,2055,86.45,8.40,6.05
2-December-2016,492.85,497.30,491.25,494.55,493.966151056935658077,207392,227,102444628.00,205807,99.24,6.05,1.70
1-December-2016,504.00,504.85,484.05,492.40,497.417360806663743971,2281,199,1134609.00,982,43.05,20.80,-11.60
30-November-2016,490.00,499.00,486.00,496.85,495.047821969696969696,2112,199,1045541.00,1323,62.64,13.00,6.85
29-November-2016,493.00,494.80,485.00,491.10,489.906250000000000000,1440,168,705465.00,811,56.32,9.80,-1.90
28-November-2016,493.00,511.00,485.65,495.50,500.517799352750809061,2472,236,1237280.00,1059,42.84,25.35,2.50
25-November-2016,495.00,497.90,480.00,491.80,491.056467181467181467,2072,185,1017469.00,643,31.03,17.90,-3.20
24-November-2016,490.00,499.60,483.05,488.25,490.097931034482758620,725,78,355321.00,256,35.31,16.55,-1.75
23-November-2016,500.00,500.00,478.00,485.95,483.803716987283990870,3067,391,1483826.00,1846,60.19,22.00,-14.05
22-November-2016,484.00,499.95,479.50,497.80,488.815293205889950917,3871,468,1892204.00,2553,65.95,20.45,13.80
21-November-2016,483.00,486.00,472.90,478.40,477.143843080276062477,2753,248,1313577.00,2097,76.17,13.10,-4.60
18-November-2016,469.90,485.00,469.65,480.70,473.848367029548989113,2572,395,1218738.00,2148,83.51,15.35,10.80
17-November-2016,465.65,485.00,465.00,468.90,470.011982596564240195,169162,203,79508167.00,168171,99.41,20.00,3.25
16-November-2016,463.80,475.35,453.85,469.75,466.200287494010541447,2087,201,972960.00,1243,59.56,21.50,5.95
15-November-2016,459.00,462.20,442.80,460.45,453.167690639681966028,2767,217,1253915.00,1681,60.75,19.40,1.45
11-November-2016,455.00,463.70,454.35,456.40,456.231988472622478386,1388,139,633250.00,810,58.36,9.35,1.40
10-November-2016,459.00,475.00,455.55,459.65,464.355058535733007164,11446,493,5315008.00,5004,43.72,19.45,0.65
9-November-2016,448.00,469.00,416.05,454.35,448.568223323767284111,3833,333,1719362.00,1720,44.87,52.95,6.35
8-November-2016,464.00,464.25,457.05,458.65,460.154536390827517447,3009,175,1384605.00,1837,61.05,7.20,-5.35
7-November-2016,469.00,494.55,456.00,459.30,468.989860068951531129,14793,1193,6937767.00,6019,40.69,38.55,-9.70
4-November-2016,463.00,475.00,462.00,465.25,465.092234655815530688,2949,511,1371557.00,1544,52.36,13.00,2.25
3-November-2016,478.00,478.00,458.05,462.45,467.399815327793167128,5415,363,2530970.00,3697,68.27,19.95,-15.55
2-November-2016,482.00,483.00,476.20,478.10,479.975520195838433292,1634,142,784280.00,1107,67.75,6.80,-3.90
1-November-2016,494.00,498.35,465.00,484.55,489.073502484959455924,3823,317,1869728.00,1812,47.40,33.35,-9.45
30-October-2016,492.00,500.25,492.00,498.35,497.146245059288537549,506,55,251556.00,380,75.10,8.25,6.35
28-October-2016,500.00,500.00,487.75,489.70,490.501016673444489629,2459,195,1206142.00,1650,67.10,12.25,-10.30
27-October-2016,496.60,505.00,489.25,491.85,495.956819153484395040,2339,167,1160043.00,1552,66.35,15.75,-4.75
26-October-2016,498.50,500.00,495.00,495.90,496.881337648327939590,1854,175,921218.00,1203,64.89,5.00,-2.60
25-October-2016,503.00,506.70,499.75,503.85,502.755803156917363045,1077,131,541468.00,629,58.40,6.95,0.85
24-October-2016,512.00,513.70,502.00,503.75,506.754549696686887540,2143,202,1085975.00,1439,67.15,11.70,-8.25
21-October-2016,513.00,516.00,502.05,506.50,510.575732732117237138,4879,398,2491099.00,2180,44.68,13.95,-6.50
20-October-2016,516.00,519.20,511.30,513.80,514.897546508492855217,3709,302,1909755.00,1822,49.12,7.90,-2.20
19-October-2016,522.00,522.00,507.95,511.25,512.883856951871657754,5984,473,3069097.00,2373,39.66,14.05,-10.75
18-October-2016,510.00,514.00,505.00,510.15,508.971949172860225365,12513,735,6368766.00,5690,45.47,9.00,0.15
17-October-2016,505.00,522.20,492.70,499.50,509.428136732840911879,40751,2145,20759706.00,11763,28.87,29.50,-5.50
14-October-2016,541.50,544.95,499.50,503.60,516.791357776298887220,64613,2281,33391440.00,27810,43.04,45.45,-37.90
13-October-2016,485.00,555.00,484.00,538.80,533.576210426609348245,137245,5995,73230667.00,16220,11.82,71.00,53.80
10-October-2016,485.00,488.60,482.25,483.15,483.953827460510328068,823,62,398294.00,419,50.91,6.35,-1.85
7-October-2016,487.00,487.00,478.00,480.35,481.145322939866369710,1796,154,864137.00,1147,63.86,9.00,-6.65
6-October-2016,480.00,486.15,480.00,482.90,482.818813131313131313,1584,147,764785.00,966,60.98,6.15,2.90
5-October-2016,483.95,485.90,480.55,483.50,483.067714631197097944,827,85,399497.00,418,50.54,5.35,-0.45
4-October-2016,485.00,485.45,479.00,483.60,483.578282828282828282,1188,93,574491.00,873,73.48,6.45,-1.40
3-October-2016,471.00,488.00,464.80,482.00,477.133143233165167799,4559,445,2175250.00,1734,38.03,23.20,11.00
30-September-2016,463.50,474.95,455.00,472.75,467.711722488038277511,1672,207,782014.00,820,49.04,19.95,9.25
29-September-2016,475.00,476.55,455.00,462.80,464.875727128503437334,5673,318,2637240.00,3793,66.86,21.55,-12.20
28-September-2016,478.05,481.40,470.00,470.95,475.461666666666666666,3600,197,1711662.00,1232,34.22,11.40,-7.10
27-September-2016,480.00,483.90,477.00,478.45,480.657858136300417246,719,66,345593.00,342,47.57,6.90,-1.55
26-September-2016,470.00,481.50,470.00,475.95,477.600419140761439049,2863,178,1367370.00,1740,60.78,11.50,5.95
23-September-2016,477.75,484.80,465.00,480.90,478.633493846976993044,3738,333,1789132.00,2190,58.59,19.80,3.15
22-September-2016,473.00,476.00,472.20,473.85,474.043445121951219512,1312,67,621945.00,744,56.71,3.80,0.85
21-September-2016,471.45,474.45,466.70,472.75,470.817910447761194029,2345,132,1104068.00,1405,59.91,7.75,1.30
20-September-2016,471.00,473.00,469.30,470.35,471.218791354212615791,2267,115,1068253.00,1357,59.86,3.70,-0.65
19-September-2016,468.10,475.00,467.05,470.70,467.583411479701480873,204744,327,95734898.00,202061,98.69,7.95,2.60
16-September-2016,483.00,487.95,456.95,463.35,471.691622424187888059,11113,835,5241909.00,4611,41.49,31.00,-19.65
15-September-2016,477.00,491.90,472.00,484.70,480.168199147790984525,4459,221,2141070.00,2818,63.20,19.90,7.70
14-September-2016,494.00,494.00,471.55,474.75,479.474903474903474903,9583,564,4594808.00,3398,35.46,22.45,-19.25
12-September-2016,455.00,498.50,455.00,491.55,488.824397824397824397,41184,2601,20131744.00,6057,14.71,43.50,36.55
9-September-2016,475.00,475.50,456.00,459.40,464.327908089995213020,8356,1029,3879924.00,4640,55.53,19.50,-15.60
8-September-2016,480.00,482.00,461.00,469.75,470.715679190751445086,5536,693,2605882.00,3877,70.03,21.00,-10.25
7-September-2016,482.80,487.90,467.00,477.00,475.166508888187651204,9507,563,4517408.00,4271,44.92,20.90,-5.80
6-September-2016,481.85,487.10,476.95,482.80,480.913907284768211920,2416,342,1161888.00,1479,61.22,10.15,0.95
2-September-2016,495.00,496.00,480.00,481.85,484.296724470134874759,2076,171,1005400.00,1716,82.66,16.00,-13.15
1-September-2016,500.60,500.60,485.00,488.85,491.278512917454316320,1587,396,779659.00,1175,74.04,15.60,-11.75
31-August-2016,504.95,507.05,495.00,500.00,500.841033672670321064,2554,170,1279148.00,1503,58.85,12.05,-4.95
30-August-2016,513.25,517.00,503.00,506.85,513.114611624117327539,3682,362,1889288.00,2272,61.71,14.00,-6.40
29-August-2016,527.65,531.00,510.25,513.25,521.705660377358490566,3710,512,1935528.00,1234,33.26,20.75,-14.40
26-August-2016,525.00,529.70,519.00,525.30,522.818833162743091095,1954,167,1021588.00,1034,52.92,10.70,0.30
25-August-2016,530.00,530.00,519.80,528.00,524.861098398169336384,4370,337,2293643.00,2433,55.68,10.20,-2.00
24-August-2016,515.35,538.90,510.00,522.90,530.312178877259752616,21020,1541,11147162.00,4137,19.68,28.90,7.55
23-August-2016,515.00,520.00,510.30,515.50,517.619047619047619047,2079,163,1076130.00,953,45.84,9.70,0.50
22-August-2016,524.00,524.00,501.15,508.95,509.857336343115124153,4430,291,2258668.00,2686,60.63,22.85,-15.05
19-August-2016,505.00,515.00,503.65,507.95,510.988666085440278988,2294,218,1172208.00,933,40.67,11.35,2.95
18-August-2016,494.60,505.50,481.15,498.30,497.686484174508126603,2338,230,1163591.00,1167,49.91,24.35,3.70
17-August-2016,494.35,498.50,488.85,492.75,494.110901368570080226,2119,97,1047021.00,1229,58.00,9.65,-1.60
16-August-2016,496.85,501.00,491.75,493.50,497.339329517579721995,1223,99,608246.00,639,52.25,9.25,-3.35
12-August-2016,505.00,507.35,496.00,497.75,498.256860098965362123,2223,71,1107625.00,1954,87.90,11.35,-7.25
11-August-2016,506.40,509.00,492.60,500.85,499.434094903339191564,1138,129,568356.00,500,43.94,16.40,-5.55
10-August-2016,512.00,513.00,502.00,506.00,508.310720775287704421,1651,122,839221.00,879,53.24,11.00,-6.00
9-August-2016,512.90,519.00,507.15,512.00,512.614545454545454545,1100,116,563876.00,443,40.27,11.85,-0.90
8-August-2016,515.00,521.20,511.00,512.90,515.089722675367047308,2452,127,1263000.00,1678,68.43,10.20,-2.10
5-August-2016,521.50,522.00,515.90,520.70,520.190532825880114176,4204,402,2186881.00,3079,73.24,6.10,-0.80
4-August-2016,515.00,524.00,510.00,521.25,518.823430019712756969,3551,273,1842342.00,1794,50.52,14.00,6.25
3-August-2016,512.00,523.00,509.20,517.75,518.208168642951251646,3795,266,1966600.00,1395,36.76,13.80,5.75
2-August-2016,506.00,514.00,506.00,512.45,510.328873092201547146,4783,296,2440903.00,3307,69.14,8.00,6.45
1-August-2016,492.00,507.00,492.00,501.75,501.026965725806451612,3968,318,1988075.00,2039,51.39,15.00,9.75
29-July-2016,490.00,492.45,485.00,489.05,489.268104149715215622,2458,272,1202621.00,1546,62.90,7.45,-0.95
28-July-2016,489.80,490.85,482.40,483.35,486.711514129059468578,2371,197,1153993.00,911,38.42,8.45,-6.45
27-July-2016,488.05,489.05,480.55,482.70,485.529974720115565185,5538,781,2688865.00,3692,66.67,8.50,-5.35
26-July-2016,491.50,494.00,481.15,483.85,487.782001551590380139,1289,132,628751.00,593,46.00,12.85,-7.65
25-July-2016,490.00,490.00,485.75,487.95,487.581314878892733564,1156,95,563644.00,619,53.55,4.25,-2.05
22-July-2016,490.00,490.00,485.00,485.20,487.692023243528790279,1893,153,923201.00,948,50.08,5.00,-4.80
21-July-2016,492.00,498.00,483.00,486.50,489.216738912970990330,2999,194,1467161.00,1210,40.35,15.00,-5.50
20-July-2016,484.00,491.10,484.00,487.40,488.305339265850945494,1798,178,877973.00,796,44.27,7.10,3.40
19-July-2016,485.00,487.30,474.50,482.65,478.808304969366916269,7345,644,3516847.00,3531,48.07,12.80,-2.35
18-July-2016,477.00,494.75,477.00,490.45,489.029184670964085853,14117,824,6903625.00,5155,36.52,17.75,13.45
15-July-2016,490.00,490.00,469.05,472.00,476.364009111617312072,8780,632,4182476.00,4310,49.09,20.95,-18.00
14-July-2016,505.00,518.00,490.25,495.20,505.299749207204593031,48247,2648,24379197.00,7192,14.91,27.75,-9.80
13-July-2016,500.00,504.50,498.40,502.30,501.110823790173623937,2707,143,1356507.00,1455,53.75,6.10,2.30
12-July-2016,504.75,506.35,495.00,497.00,500.434710743801652892,3025,164,1513815.00,518,17.12,11.35,-7.75
11-July-2016,510.00,510.70,493.10,500.70,500.691109994977398292,1991,187,996876.00,614,30.84,17.60,-9.30
8-July-2016,503.30,509.00,495.10,504.80,503.643015521064301552,1353,89,681429.00,993,73.39,13.90,1.50
7-July-2016,506.00,508.00,495.10,502.55,502.545454545454545454,2519,193,1265912.00,1022,40.57,12.90,-3.45
5-July-2016,488.00,505.00,486.35,498.55,490.695811170212765957,3008,198,1476013.00,1521,50.57,18.65,10.55
4-July-2016,487.15,491.50,483.85,487.55,487.303370786516853932,1780,131,867400.00,1230,69.10,7.65,0.40
1-July-2016,487.50,493.50,486.00,486.45,488.915164369034994697,943,76,461047.00,403,42.74,7.50,-1.05
30-June-2016,489.25,492.00,486.00,487.40,488.513327663710363260,41155,159,20104766.00,40206,97.69,6.00,-1.85
29-June-2016,480.00,493.45,480.00,490.65,488.785778577857785778,2222,110,1086082.00,966,43.47,13.45,10.65
28-June-2016,484.00,484.00,479.00,480.30,481.246222222222222222,1125,89,541402.00,710,63.11,5.00,-3.70
27-June-2016,487.45,491.45,482.00,483.85,486.225975538730343622,1717,157,834850.00,843,49.10,9.45,-3.60
24-June-2016,485.70,485.85,468.15,483.45,478.740137531668476293,2763,209,1322759.00,1176,42.56,17.70,-2.25
23-June-2016,493.00,496.30,489.00,491.10,491.783857729138166894,731,68,359494.00,412,56.36,7.30,-1.90
22-June-2016,505.00,505.00,492.85,497.70,498.060686015831134564,1137,161,566295.00,555,48.81,12.15,-7.30
21-June-2016,487.50,505.00,485.20,498.75,495.219078708741385564,2757,190,1365319.00,1746,63.33,19.80,11.25
20-June-2016,485.00,492.00,485.00,489.20,489.425751072961373390,1165,125,570181.00,765,65.67,7.00,4.20
17-June-2016,493.40,493.40,483.70,491.55,490.089561091340450771,1686,137,826291.00,777,46.09,9.70,-1.85
16-June-2016,495.00,495.00,485.00,489.50,488.948669201520912547,1052,88,514374.00,616,58.56,10.00,-5.50
